"","participant","ANON_PID","session_number","claim_set","claim","claim_type","broad_claim_type","source","pre","post","original_stance_against_consensus","original_stance_against_claim","original_stance_claim","changed_mind","pre_adjusted","post_adjusted","update","consensus","side_A","side_B","nSources_A","nSources_B","prop_pro","trial_accuracy","total_duration","stances","tweetOrder","index"
"148","36","80a7b950-1479-4325-975a-0ffe3ae16cbf","2","B","aiBan","Unknowable Expert","Unknowable","uni",100,100,TRUE,FALSE,"for",FALSE,0,0,0,"dependent","con",NA,"1","0",0.5,1,39.4382166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-3:TW-con-0:TW-con-1","29"
"1.1174","36","80a7b950-1479-4325-975a-0ffe3ae16cbf","2","B","avocado","Unknowable Expert","Unknowable","media",57,76,FALSE,FALSE,"for",FALSE,57,76,19,"independent","pro",NA,"4","0",0.5,1,39.4382166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-3:TW-pro-1:TW-pro-2:TW-pro-0","6"
"1.2174","36","80a7b950-1479-4325-975a-0ffe3ae16cbf","2","B","bank","Knowable Facts","Knowable ","media",70,45,TRUE,FALSE,"for",TRUE,30,55,25,"dependent","con",NA,"1","0",0.5,1,39.4382166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-0:TW-con-2:TW-con-1","10"
"1.348","36","80a7b950-1479-4325-975a-0ffe3ae16cbf","2","B","beautyPageants","Unknowable Preference","Unknowable","media",65,60,FALSE,FALSE,"for",FALSE,65,60,-5,"contested","pro","con","2","2",0.5,1,39.4382166666667,"agrees:disagrees:agrees:disagrees","TW-0:TW-pro-1:TW-con-0:TW-pro-0:TW-con-1","26"
"1.448","36","80a7b950-1479-4325-975a-0ffe3ae16cbf","2","B","books","Unknowable Preference","Unknowable","media",75,50,TRUE,FALSE,"for",FALSE,25,50,25,"independent","con",NA,"4","0",0.5,1,39.4382166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-3:TW-con-1:TW-con-0:TW-con-2","28"
"1.548","36","80a7b950-1479-4325-975a-0ffe3ae16cbf","2","B","burningBuilding","Knowable Eyewitness",NA,"media",50,75,FALSE,FALSE,"equal",NA,50,75,25,"independent","pro",NA,"4","0",0.5,1,39.4382166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-0:TW-pro-3:TW-pro-2","2"
"1.648","36","80a7b950-1479-4325-975a-0ffe3ae16cbf","2","B","chameleons","Knowable Facts","Knowable ","uni",20,34,TRUE,TRUE,"against",FALSE,20,34,14,"contested","pro","con","2","2",0.5,1,39.4382166666667,"agrees:disagrees:disagrees:agrees","TW-0:TW-pro-0:TW-con-1:TW-con-0:TW-pro-1","5"
"1.748","36","80a7b950-1479-4325-975a-0ffe3ae16cbf","2","B","chessGrandmaster","Knowable Eyewitness",NA,"uni",70,65,TRUE,FALSE,"for",FALSE,30,35,5,"dependent","con",NA,"1","0",0.5,1,39.4382166666667,"disagrees:disagrees:disagrees:disagrees","TW-0:TW-con-2:TW-con-1:TW-con-0:TW-con-3","24"
"1.848","36","80a7b950-1479-4325-975a-0ffe3ae16cbf","2","B","cleanCoal","Unknowable Expert","Unknowable","uni",76,50,FALSE,FALSE,"for",FALSE,76,50,-26,"contested","pro","con","2","2",0.5,1,39.4382166666667,"disagrees:agrees:disagrees:agrees","TW-0:TW-con-1:TW-pro-0:TW-con-0:TW-pro-1","13"
"1.948","36","80a7b950-1479-4325-975a-0ffe3ae16cbf","2","B","cleopatra","Knowable Facts","Knowable ","media",28,50,TRUE,TRUE,"against",FALSE,28,50,22,"independent","pro",NA,"4","0",0.5,1,39.4382166666667,"agrees:agrees:agrees:agrees","TW-0:TW-pro-1:TW-pro-2:TW-pro-0:TW-pro-3","7"
